id,title,family,kind,lane,original_family,script_sections,dependencies,release_gates,asset_dir,ticket,github_issue,production_status,release_status
DIA-01,Event-driven programming: action → handler → code,diagrams,motion,motion,T1-D01,3,OPS-01,R03,assets/diagrams/DIA-01,docs/tickets/DIA-01.md,31,produced,approved
DIA-02,"War rules: shuffle, deal, flip, compare, collect",diagrams,motion,motion,T1-D02,"5,9",OPS-01,R05,assets/diagrams/DIA-02,docs/tickets/DIA-02.md,32,planned,unreviewed
DIA-03,Card rank mapping: 2 through Ace,diagrams,still,design,T1-D03,6,OPS-01,,assets/diagrams/DIA-03,docs/tickets/DIA-03.md,33,produced,approved
DIA-04,ByRef versus ByVal: caller variable and local parameter,diagrams,motion,motion,T1-D04,"7,10",OPS-01,R04a,assets/diagrams/DIA-04,docs/tickets/DIA-04.md,34,planned,unreviewed
DIA-05,"Array as queue: live slots, draw, shift, append",diagrams,motion,motion,T1-D05,8,OPS-01,,assets/diagrams/DIA-05,docs/tickets/DIA-05.md,35,planned,unreviewed
DIA-06,Fisher–Yates shuffle: backward swaps,diagrams,motion,motion,T1-D06,7,OPS-01,R15,assets/diagrams/DIA-06,docs/tickets/DIA-06.md,36,produced,approved
DIA-07,BuildDeck nested loops: 4 suits × 13 ranks,diagrams,motion,motion,T1-D07,7,"OPS-01,CODE-04",,assets/diagrams/DIA-07,docs/tickets/DIA-07.md,38,produced,approved
DIA-08,"War mechanic: tie, burn, flip, award",diagrams,motion,motion,T1-D08,"5,10",OPS-01,R05,assets/diagrams/DIA-08,docs/tickets/DIA-08.md,39,planned,unreviewed
DIA-09,Pot growth: 2 → 10 → 18,diagrams,motion,motion,T1-D09,"10,11",OPS-01,"R05,R07",assets/diagrams/DIA-09,docs/tickets/DIA-09.md,40,produced,approved
DIA-10,"Game flowchart: setup, rounds, war loop, result",diagrams,still,design,T1-D10,"9,10",OPS-01,"R04,R05,R06",assets/diagrams/DIA-10,docs/tickets/DIA-10.md,41,produced,approved
DIA-11,1995 development tools comparison,diagrams,still,design,T1-D11,13,OPS-01,"R11,R15",assets/diagrams/DIA-11,docs/tickets/DIA-11.md,42,produced,approved
DIA-12,Windows VB4 versus Mac CodeWarrior table,diagrams,motion,design,T1-D12,14,OPS-01,"R03,R09,R16",assets/diagrams/DIA-12,docs/tickets/DIA-12.md,43,planned,unreviewed
DIA-13,Visual development lineage / influence graphic,diagrams,still,design,T1-D13,15,OPS-01,R13,assets/diagrams/DIA-13,docs/tickets/DIA-13.md,44,produced,approved
DIA-14,VB timeline: VB1 through VB.NET,diagrams,still,design,T1-D14,"2,15",OPS-01,"R15,R12",assets/diagrams/DIA-14,docs/tickets/DIA-14.md,45,produced,approved
CARD-01,Opening title: Win95 message box,cards,motion,design,T1-S01,1,OPS-01,,assets/cards/CARD-01,docs/tickets/CARD-01.md,46,produced,approved
CH-01,Chapter 01: Intro: What Even Is Visual Basic?,chapters,motion,design,T1-S02,1,OPS-01,,assets/chapters/CH-01,docs/tickets/CH-01.md,47,produced,approved
CH-02,Chapter 02: A Very Brief History of BASIC to Visual Basic,chapters,motion,design,T1-S02,2,OPS-01,,assets/chapters/CH-02,docs/tickets/CH-02.md,48,produced,approved
CH-03,Chapter 03: The Toolchain: What You Actually Installed,chapters,motion,design,T1-S02,3,OPS-01,,assets/chapters/CH-03,docs/tickets/CH-03.md,49,produced,approved
CH-04,Chapter 04: How We're Doing This Today,chapters,motion,design,T1-S02,4,OPS-01,,assets/chapters/CH-04,docs/tickets/CH-04.md,50,produced,approved
CH-05,Chapter 05: The Card Game War: Rules in 60 Seconds,chapters,motion,design,T1-S02,5,OPS-01,,assets/chapters/CH-05,docs/tickets/CH-05.md,51,produced,approved
CH-06,Chapter 06: Modeling a Card in VB,chapters,motion,design,T1-S02,6,OPS-01,,assets/chapters/CH-06,docs/tickets/CH-06.md,52,produced,approved
CH-07,Chapter 07: Building and Shuffling the Deck,chapters,motion,design,T1-S02,7,OPS-01,,assets/chapters/CH-07,docs/tickets/CH-07.md,53,produced,approved
CH-08,Chapter 08: The Player's Hand: Arrays as Queues,chapters,motion,design,T1-S02,8,OPS-01,,assets/chapters/CH-08,docs/tickets/CH-08.md,54,produced,approved
CH-09,Chapter 09: The Game Loop,chapters,motion,design,T1-S02,9,OPS-01,,assets/chapters/CH-09,docs/tickets/CH-09.md,55,produced,approved
CH-10,Chapter 10: War! The Recursion Within the Loop,chapters,motion,design,T1-S02,10,OPS-01,R04,assets/chapters/CH-10,docs/tickets/CH-10.md,56,produced,approved
CH-11,Chapter 11: Running It: Full Simulation,chapters,motion,design,T1-S02,11,OPS-01,,assets/chapters/CH-11,docs/tickets/CH-11.md,57,produced,approved
