id,title,kind,owner_role,original_family,script_sections,dependencies,release_gates,ticket,status
DIA-01,Event-driven programming: action → handler → code,motion,motion,T1-D01,3,OPS-01,R03,tickets/DIA-01.md,planned
DIA-02,"War rules: shuffle, deal, flip, compare, collect",motion,motion,T1-D02,"5,9",OPS-01,R05,tickets/DIA-02.md,planned
DIA-03,Card rank mapping: 2 through Ace,still,design,T1-D03,6,OPS-01,,tickets/DIA-03.md,planned
DIA-04,ByRef versus ByVal: caller variable and local parameter,motion,motion,T1-D04,"7,10",OPS-01,R04a,tickets/DIA-04.md,planned
DIA-05,"Array as queue: live slots, draw, shift, append",motion,motion,T1-D05,8,OPS-01,,tickets/DIA-05.md,planned
DIA-06,Fisher–Yates shuffle: backward swaps,motion,motion,T1-D06,7,OPS-01,R15,tickets/DIA-06.md,planned
DIA-07,BuildDeck nested loops: 4 suits × 13 ranks,motion,motion,T1-D07,7,"OPS-01,CODE-04",,tickets/DIA-07.md,planned
DIA-08,"War mechanic: tie, burn, flip, award",motion,motion,T1-D08,"5,10",OPS-01,R05,tickets/DIA-08.md,planned
DIA-09,Pot growth: 2 → 10 → 18,motion,motion,T1-D09,"10,11",OPS-01,"R05,R07",tickets/DIA-09.md,planned
DIA-10,"Game flowchart: setup, rounds, war loop, result",still,design,T1-D10,"9,10",OPS-01,"R04,R05,R06",tickets/DIA-10.md,planned
DIA-11,1995 development tools comparison,still,design,T1-D11,13,OPS-01,"R11,R15",tickets/DIA-11.md,planned
DIA-12,Windows VB4 versus Mac CodeWarrior table,still,design,T1-D12,14,OPS-01,"R03,R09,R16",tickets/DIA-12.md,planned
DIA-13,Visual development lineage / influence graphic,still,design,T1-D13,15,OPS-01,R13,tickets/DIA-13.md,planned
DIA-14,VB timeline: VB1 through VB.NET,still,design,T1-D14,"2,15",OPS-01,"R15,R12",tickets/DIA-14.md,planned
CARD-01,Opening title: Win95 message box,motion,design,T1-S01,1,OPS-01,,tickets/CARD-01.md,planned
CH-01,Chapter 01: Intro: What Even Is Visual Basic?,motion,design,T1-S02,1,OPS-01,,tickets/CH-01.md,planned
CH-02,Chapter 02: A Very Brief History of BASIC to Visual Basic,motion,design,T1-S02,2,OPS-01,,tickets/CH-02.md,planned
CH-03,Chapter 03: The Toolchain: What You Actually Installed,motion,design,T1-S02,3,OPS-01,,tickets/CH-03.md,planned
CH-04,Chapter 04: How We're Doing This Today,motion,design,T1-S02,4,OPS-01,,tickets/CH-04.md,planned
CH-05,Chapter 05: The Card Game War: Rules in 60 Seconds,motion,design,T1-S02,5,OPS-01,,tickets/CH-05.md,planned
CH-06,Chapter 06: Modeling a Card in VB,motion,design,T1-S02,6,OPS-01,,tickets/CH-06.md,planned
CH-07,Chapter 07: Building and Shuffling the Deck,motion,design,T1-S02,7,OPS-01,,tickets/CH-07.md,planned
CH-08,Chapter 08: The Player's Hand: Arrays as Queues,motion,design,T1-S02,8,OPS-01,,tickets/CH-08.md,planned
CH-09,Chapter 09: The Game Loop,motion,design,T1-S02,9,OPS-01,,tickets/CH-09.md,planned
CH-10,Chapter 10: War! The Recursion Within the Loop,motion,design,T1-S02,10,OPS-01,R04,tickets/CH-10.md,planned
CH-11,Chapter 11: Running It: Full Simulation,motion,design,T1-S02,11,OPS-01,,tickets/CH-11.md,planned
CH-12,Chapter 12: What This Code Would Have Become,motion,design,T1-S02,12,OPS-01,,tickets/CH-12.md,planned
CH-13,Chapter 13: VB vs. The Competition in 1995,motion,design,T1-S02,13,OPS-01,,tickets/CH-13.md,planned
CH-14,Chapter 14: What If You Were on a Mac?,motion,design,T1-S02,14,OPS-01,,tickets/CH-14.md,planned
CH-15,Chapter 15: Why VB Mattered (and Why It Died),motion,design,T1-S02,15,OPS-01,R12,tickets/CH-15.md,planned
CH-16,Chapter 16: Outro,motion,design,T1-S02,16,OPS-01,,tickets/CH-16.md,planned
CARD-02,"Outro end card: subscribe, like, next video",motion,design,T1-S06,16,OPS-01,,tickets/CARD-02.md,planned
CODE-01,Options: explicit and strict,code,code,T1-S03,4,OPS-01,"R03,R17",tickets/CODE-01.md,planned
CODE-02,Card structure: Rank and Suit,code,code,T1-S03,6,OPS-01,R03,tickets/CODE-02.md,planned
CODE-03,BuildDeck procedure,code,code,T1-S03,7,OPS-01,,tickets/CODE-03.md,planned
CODE-04,Nested For / Next matching brackets,code,code,T1-S03,7,OPS-01,,tickets/CODE-04.md,planned
CODE-05,ShuffleDeck procedure,code,code,T1-S03,7,OPS-01,R15,tickets/CODE-05.md,planned
CODE-06,Hand structure,code,code,T1-S03,8,OPS-01,R04a,tickets/CODE-06.md,planned
CODE-07,NewHand initialization,code,code,T1-S03,8,OPS-01,,tickets/CODE-07.md,planned
CODE-08,AddCardToBottom procedure,code,code,T1-S03,8,OPS-01,,tickets/CODE-08.md,planned
CODE-09,DrawTopCard function,code,code,T1-S03,8,OPS-01,,tickets/CODE-09.md,planned
CODE-10,Return by assigning to the function name,code,code,T1-S03,8,OPS-01,,tickets/CODE-10.md,planned
CODE-11,"Main setup: build, shuffle, new hands, deal",code,code,T1-S03,9,OPS-01,,tickets/CODE-11.md,planned
CODE-12,DealCards: alternating distribution,code,code,T1-S03,9,OPS-01,,tickets/CODE-12.md,planned
CODE-13,Main Do While game loop,code,code,T1-S03,9,OPS-01,R06,tickets/CODE-13.md,planned
CODE-14,Round-cap safety valve,code,code,T1-S03,9,OPS-01,R06,tickets/CODE-14.md,planned
CODE-15,PlayRound signature and argument modes,code,code,T1-S03,10,OPS-01,R04a,tickets/CODE-15.md,planned
CODE-16,Pot declaration and count,code,code,T1-S03,10,OPS-01,R07,tickets/CODE-16.md,planned
CODE-17,Mid-war empty-hand guards,code,code,T1-S03,10,OPS-01,"R04,R05",tickets/CODE-17.md,planned
CODE-18,Draw a pair and append to the pot,code,code,T1-S03,10,OPS-01,,tickets/CODE-18.md,planned
CODE-19,Rank comparison and round winner,code,code,T1-S03,10,OPS-01,,tickets/CODE-19.md,planned
CODE-20,War counters and symmetric burn loop,code,code,T1-S03,10,OPS-01,R05,tickets/CODE-20.md,planned
CODE-21,Colon statement separator,code,code,T1-S03,10,OPS-01,,tickets/CODE-21.md,planned
CODE-22,GiveCardsToWinner procedure,code,code,T1-S03,10,OPS-01,,tickets/CODE-22.md,planned
CODE-23,RankName Select Case,code,code,T1-S03,"6,11",OPS-01,,tickets/CODE-23.md,planned
CODE-24,CardText suit names and concatenation,code,code,T1-S03,"6,9",OPS-01,,tickets/CODE-24.md,planned
CODE-25,Winner and final summary output code,code,code,T1-S03,"11,16",OPS-01,"R06,R08",tickets/CODE-25.md,planned
CMP-01,Variable declaration: type before versus after,still,code,T1-S04,6,OPS-01,,tickets/CMP-01.md,planned
